CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3502010,Champlain,Apartment,1050.0,2.0,1.0,0,1,1,800.0,1 Year,9044,Ontario,"45.6192681,-74.6928116"
3502010,Champlain,Condo,1650.0,2.0,1.5,0,0,0,1120.0,1 Year,9044,Ontario,"45.6055087,-74.5782132"
3502010,Champlain,Apartment,1150.0,1.0,1.0,0,0,1,1.0,1 Year,9044,Ontario,"45.5196512,-74.6522016"
3502010,Champlain,Apartment,900.0,2.0,1.0,0,0,1,800.0,Month-to-month,9044,Ontario,"45.6192681,-74.6928116"
3502010,Champlain,Apartment,975.0,1.0,1.0,0,1,1,700.0,1 Year,9044,Ontario,"45.6192681,-74.6928116"
3502023,Alfred and Plantagenet,House,2645.0,3.5,3.0,0,0,0,1412.0,1 Year,10640,Ontario,"45.5712706,-75.1164865"
3502023,Alfred and Plantagenet,House,1900.0,3.0,2.0,0,0,0,1200.0,1 Year,10640,Ontario,"45.5357417,-75.1259068"
3502023,Alfred and Plantagenet,Apartment,1200.0,1.0,1.0,0,0,1,500.0,Month-to-month,10640,Ontario,"45.5477034,-75.0347713"
3502025,The Nation / La Nation,Apartment,1300.0,2.0,1.0,0,0,1,800.0,1 Year,14292,Ontario,"45.3843513,-74.9057852"
3502025,The Nation / La Nation,Apartment,1270.0,2.0,1.0,0,0,1,750.0,1 Year,14292,Ontario,"45.3831091,-74.9041327"
3502025,The Nation / La Nation,Condo,1475.0,1.5,1.0,0,0,0,1000.0,1 Year,14292,Ontario,"45.3407405,-75.2507344"
3502025,The Nation / La Nation,Apartment,2000.0,2.0,2.0,0,0,0,1200.0,1 Year,14292,Ontario,"45.2614049,-75.1224143"
3502025,The Nation / La Nation,Duplex/Triplex,1795.0,2.0,1.0,0,0,0,1254.0,1 Year,14292,Ontario,"45.2530915,-75.1215289"
3502025,The Nation / La Nation,Apartment,1850.0,2.0,1.0,0,1,1,1000.0,1 Year,14292,Ontario,"45.3369508,-75.2508545"
3502025,The Nation / La Nation,Apartment,995.0,1.0,1.0,0,0,1,800.0,1 Year,14292,Ontario,"45.3844998,-74.9051104"
3502025,The Nation / La Nation,Condo,2400.0,2.0,2.0,0,1,1,1000.0,1 Year,14292,Ontario,"45.3173996,-75.1832534"
3502025,The Nation / La Nation,Condo,2050.0,2.0,1.0,0,0,0,1050.0,1 Year,14292,Ontario,"45.3173996,-75.1832534"
3502025,The Nation / La Nation,Condo,1475.0,1.5,1.0,0,0,0,1000.0,1 Year,14292,Ontario,"45.3378169,-75.2509884"
3502025,The Nation / La Nation,House,2300.0,2.0,1.0,1,1,1,1000.0,1 Year,14292,Ontario,"45.3343153,-75.2516203"
3502036,Clarence-Rockland,Apartment,2000.0,2.0,1.0,1,1,1,1000.0,Month-to-month,27561,Ontario,"45.5730024,-75.2070987"
3502036,Clarence-Rockland,Apartment,1625.0,2.0,1.0,0,0,0,900.0,1 Year,27561,Ontario,"45.5539701,-75.2796576"
3502036,Clarence-Rockland,House,2100.0,3.0,2.0,0,0,0,1200.0,1 Year,27561,Ontario,"45.5521119,-75.2707793"
3502036,Clarence-Rockland,Apartment,2300.0,3.0,2.0,0,1,1,1000.0,1 Year,27561,Ontario,"45.5493384,-75.2492617"
3502036,Clarence-Rockland,Condo,2000.0,2.0,1.0,0,0,1,1200.0,1 Year,27561,Ontario,"45.5483729,-75.2916118"
3502036,Clarence-Rockland,Townhouse,2100.0,3.0,2.0,0,0,0,1800.0,1 Year,27561,Ontario,"45.5468464,-75.2767311"
3502036,Clarence-Rockland,Townhouse,2300.0,3.0,3.5,0,0,0,1700.0,1 Year,27561,Ontario,"45.545521,-75.2703042"
3502036,Clarence-Rockland,Apartment,2275.0,2.0,1.5,0,1,1,1005.0,1 Year,27561,Ontario,"45.5420939,-75.2848395"
3502036,Clarence-Rockland,Apartment,2525.0,2.0,2.0,0,1,1,1140.0,1 Year,27561,Ontario,"45.5420939,-75.2848395"
3502036,Clarence-Rockland,Apartment,2525.0,2.0,2.0,0,1,1,1140.0,1 Year,27561,Ontario,"45.5415422,-75.2862933"
3502036,Clarence-Rockland,Apartment,2275.0,2.0,1.5,0,1,1,1005.0,1 Year,27561,Ontario,"45.5415422,-75.2862933"
3502036,Clarence-Rockland,House,2600.0,3.0,2.5,0,0,0,2000.0,1 Year,27561,Ontario,"45.5414125,-75.2774835"
3502036,Clarence-Rockland,Townhouse,2150.0,3.0,2.0,0,0,0,1500.0,1 Year,27561,Ontario,"45.5404472,-75.299617"
3502036,Clarence-Rockland,Duplex/Triplex,700.0,1.0,1.0,1,1,1,600.0,Month-to-month,27561,Ontario,"45.4350506,-75.1581561"
3502036,Clarence-Rockland,House,2350.0,5.0,1.0,0,0,0,1200.0,1 Year,27561,Ontario,"45.4184061,-75.1482451"
3502036,Clarence-Rockland,Apartment,1500.0,2.0,1.0,1,1,1,1250.0,Month-to-month,27561,Ontario,"45.5398104,-75.2925218"
3502036,Clarence-Rockland,Apartment,1500.0,1.0,1.0,1,1,1,400.0,1 Year,27561,Ontario,"45.5483729,-75.2916118"
3502036,Clarence-Rockland,Condo,1700.0,2.0,1.5,0,0,0,1100.0,1 Year,27561,Ontario,"45.5426508,-75.2980547"
3502036,Clarence-Rockland,Condo,1995.0,2.0,1.0,1,1,1,1080.0,1 Year,27561,Ontario,"45.5526067,-75.2832864"
3502036,Clarence-Rockland,Condo,2000.0,2.0,1.0,0,0,0,900.0,1 Year,27561,Ontario,"45.5429858,-75.2961355"
3502036,Clarence-Rockland,Duplex/Triplex,2225.0,3.0,1.0,1,1,1,1650.0,1 Year,27561,Ontario,"45.5486129,-75.2954371"
